epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2581,1.40006,4.47322,1.2421,0.58051,0.5,0.52736,0.30685,1.37496,7.21825,0.98065,0.00024,0.00024,0.00024
2,50.5821,1.41281,1.49314,0.98877,0.74682,0.76087,0.75291,0.47306,1.17562,2.42679,0.93739,0.00047525,0.00047525,0.00047525
3,77.245,1.33313,1.13737,1.01274,0.75563,0.80669,0.78194,0.50941,1.19903,1.67696,1.01016,0.00068476,0.00068476,0.00068476
4,104.735,1.38031,1.05871,1.01098,0.76297,0.78261,0.79082,0.48885,1.25076,1.39364,1.08663,0.00086853,0.00086853,0.00086853
5,133.8,1.30841,0.92117,1.04102,0.80029,0.80435,0.83734,0.5625,1.09371,1.06565,1.01005,0.00102656,0.00102656,0.00102656
6,164.297,1.39017,0.94439,1.06651,0.71875,0.72231,0.7134,0.42376,1.33322,1.39373,1.1624,0.00115885,0.00115885,0.00115885
7,195.112,1.30988,0.86746,1.02498,0.85204,0.78261,0.79955,0.48813,1.21605,1.10089,1.12029,0.0012654,0.0012654,0.0012654
8,226.933,1.30457,0.87639,1.04164,0.91277,0.78261,0.80629,0.46466,1.29241,0.99149,1.07463,0.001307,0.001307,0.001307
9,259.996,1.33912,0.85577,1.0941,0.91145,0.73913,0.80268,0.52178,1.13598,1.02085,1.02156,0.001208,0.001208,0.001208
10,294.064,1.25979,0.79144,1.02326,0.91789,0.72917,0.76834,0.44841,1.11437,0.90241,1.03623,0.001109,0.001109,0.001109
11,336.939,1.37295,0.83926,1.01712,0.95915,0.67391,0.715,0.40173,1.18604,0.98136,1.06351,0.00101,0.00101,0.00101
12,380.123,1.26456,0.74002,0.97881,0.84868,0.80435,0.84509,0.53927,1.1847,0.87307,1.09444,0.000911,0.000911,0.000911
13,414.082,1.16361,0.73304,0.99549,0.87999,0.80435,0.85087,0.54418,1.12499,0.90513,1.03711,0.000812,0.000812,0.000812
14,448.79,1.1435,0.66095,0.96327,0.87748,0.84783,0.85481,0.55856,1.15818,0.73639,1.05674,0.000713,0.000713,0.000713
15,489.513,1.20788,0.67244,0.96968,0.92129,0.78261,0.80766,0.52526,1.05802,0.80537,1.02434,0.000614,0.000614,0.000614
16,530.288,1.21587,0.65488,0.94612,0.90553,0.82609,0.93007,0.61345,1.08104,0.63138,1.01986,0.000515,0.000515,0.000515
17,579.732,1.09395,0.60856,0.95308,0.96119,0.80435,0.88129,0.59537,0.96301,0.58921,0.97442,0.000416,0.000416,0.000416
18,620.386,1.09901,0.64189,0.96219,0.94237,0.84783,0.9338,0.63478,0.96912,0.57608,0.96595,0.000317,0.000317,0.000317
19,665.694,1.07343,0.57798,0.92395,0.9388,0.86957,0.92008,0.59405,0.96288,0.54008,0.97715,0.000218,0.000218,0.000218
20,707.192,1.03562,0.57424,0.93912,0.99085,0.91304,0.96491,0.66086,0.9611,0.52807,0.97158,0.000119,0.000119,0.000119
